web-scraper-order,web-scraper-start-url,rest-link,rest-link-href,shopname,cuisine,item_name,item_desc,product_img,item_price,shop_rating,shop_address,shop_period
"1622613086-251","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Ibrahim Rojak4.5/5 (10)$$$AsianChickenS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/m3uj/ibrahim-rojak","Ibrahim Rojak","","","","","S$ 1","4.5/5","null","null"
"1622613099-595","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","S$ 5.90","4.1/5","null","null"
"1622613153-899","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Bober Tea (442 Clementi)4.7/5 (409)$$$BeveragesTea Time pandapro perksFree deliveryPRO - Free Delivery!20min","https://www.foodpanda.sg/restaurant/q9mv/bober-tea-442-clementi","Bober Tea (442 Clementi)","","","","","from  S$ 4.30","4.7/5","null","null"
"1622613153-780","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Bober Tea (442 Clementi)4.7/5 (409)$$$BeveragesTea Time pandapro perksFree deliveryPRO - Free Delivery!20min","https://www.foodpanda.sg/restaurant/q9mv/bober-tea-442-clementi","Bober Tea (442 Clementi)","","Matcha Strawberry Latte - Large","","","","4.7/5","null","null"
"1622613153-918","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Bober Tea (442 Clementi)4.7/5 (409)$$$BeveragesTea Time pandapro perksFree deliveryPRO - Free Delivery!20min","https://www.foodpanda.sg/restaurant/q9mv/bober-tea-442-clementi","Bober Tea (442 Clementi)","","","","","from  S$ 5.50","4.7/5","null","null"
"1622613153-924","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Bober Tea (442 Clementi)4.7/5 (409)$$$BeveragesTea Time pandapro perksFree deliveryPRO - Free Delivery!20min","https://www.foodpanda.sg/restaurant/q9mv/bober-tea-442-clementi","Bober Tea (442 Clementi)","","","","","from  S$ 5.30","4.7/5","null","null"
"1622613153-793","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Bober Tea (442 Clementi)4.7/5 (409)$$$BeveragesTea Time pandapro perksFree deliveryPRO - Free Delivery!20min","https://www.foodpanda.sg/restaurant/q9mv/bober-tea-442-clementi","Bober Tea (442 Clementi)","","Brown Sugar Boba Oreo Milk - Medium","","","","4.7/5","null","null"
"1622613090-333","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","R&B Tea (Clementi Mall)4.7/5 (234)$$$BeveragesTea TimeDeals near youMonthly DealsS$ 2.19 Delivery feeDiscount 35%20min","https://www.foodpanda.sg/restaurant/i8nr/randb-tea-clementi-mall","R&B Tea (Clementi Mall)","","","Comes with golden pearls, pudding, aloe vera and crystal balls","","","4.7/5","null","null"
"1622613082-135","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","i.Tea (Clementi)4.5/5 (1k+)$$$BeveragesSingaporeanS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/w5vl/i-tea-clementi","i.Tea (Clementi)","","","","","from  S$ 3.90","4.5/5","null","null"
"1622613099-671","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","S$ 6.60","4.1/5","null","null"
