web-scraper-order,web-scraper-start-url,rest-link,rest-link-href,shopname,cuisine,item_name,item_desc,product_img,item_price,shop_rating,shop_address,shop_period
"1622642079-832","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Soi Thai Kitchen (JCube)4.3/5 (427)$$$ThaiMeatAsian pandapro perksMonthly DealsFree deliveryPRO - Free Delivery!Discount 20%30min","https://www.foodpanda.sg/restaurant/w1hz/soi-thai-kitchen-jcube","Soi Thai Kitchen (JCube)","","","","","S$ 6.40S$ 8","4.3/5","null","null"
"1622642102-1767","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Gloria Jean's Coffees (West Coast Plaza)4.7/5 (393)$$$DessertHalalBeveragesBreakfastFree deliveryFree Delivery!30min","https://www.foodpanda.sg/restaurant/w6uj/gloria-jeans-coffees-west-coast-plaza","Gloria Jean's Coffees (West Coast Plaza)","","","","","from  S$ 8.20","4.7/5","null","null"
"1622642090-1243","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Mohamad Ali Drinks Stall4.6/5 (97)$$$Beverages pandapro perksFree deliveryFree Delivery!25min","https://www.foodpanda.sg/restaurant/x9yw/mohamad-ali-drinks-stall","Mohamad Ali Drinks Stall","","Iced Sour Plum Juice","","","","4.6/5","null","null"
"1622642143-3907","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Top Seafood (Clementi)4.3/5 (1k+)$$$ChineseSingaporeanSeafoodFlash SaleLunchDinner pandapro perksDeals near youMonthly DealsS$ 2.19 Delivery feeDiscount 30%25min","https://www.foodpanda.sg/restaurant/v8sa/top-seafood-clementi","Top Seafood (Clementi)","","","Soupy noodles","","","4.3/5","null","null"
"1622642189-7667","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Khansama Tandoori Village (Science Park) - Restaurant Delivery4.3/5 (572)$$$IndianAlcoholVeganSoupsSnacksRice DishesLate Night DeliveryBBQTea TimeLunchDinnerS$ 5 Delivery feeFeaturedRestaurant Delivery60min","https://www.foodpanda.sg/restaurant/x3qv/khansama-tandoori-village-science-park-restaurant-delivery","Khansama Tandoori Village (Science Park) - Restaurant Delivery","","","","","S$ 9.10","4.3/5","null","null"
"1622642192-7978","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Light of India - Restaurant Delivery4.4/5 (7)$$$IndianMeatSoupsNoodlesRice DishesS$ 6 Delivery feeDiscount 15%Featured30min","https://www.foodpanda.sg/restaurant/vyrr/light-of-india-restaurant-delivery","Light of India - Restaurant Delivery","","","Deep-fried dory fish with onion capsicum & green chillies","","","4.4/5","null","null"
"1622642182-6820","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery1.6/5 (3)$$$IndianWrapsBeveragesRice DishesMonthly DealsS$ 6 Delivery feeDiscount 15%Featured60min","https://www.foodpanda.sg/restaurant/eq68/brits-indian-kebab-and-grill-corner-restaurant-delivery","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery","","","","","S$ 17S$ 20","1.6/5","null","null"
"1622642182-6690","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery1.6/5 (3)$$$IndianWrapsBeveragesRice DishesMonthly DealsS$ 6 Delivery feeDiscount 15%Featured60min","https://www.foodpanda.sg/restaurant/eq68/brits-indian-kebab-and-grill-corner-restaurant-delivery","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery","","Fish Tikka","","","","1.6/5","null","null"
"1622642198-8764","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Omar Shariff (Bukit Timah) - Restaurant Delivery4.1/5 (3k+)$$$IndianSeafoodVegetarianChickenTea TimeBentoDinner pandapro perksDeals near youMonthly DealsFree deliveryPRO - Free Delivery!Discount 30%60min","https://www.foodpanda.sg/restaurant/v1ra/omar-shariff-bukit-timah-restaurant-delivery","Omar Shariff (Bukit Timah) - Restaurant Delivery","","","","","S$ 5.24","4.1/5","null","null"
"1622642186-7186","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","AWADH Royal Indian Lucknawi Cusine - Restaurant Delivery3.8/5 (138)$$$IndianVegetarianMeatAsianBeveragesChickenS$ 7 Delivery feeFeaturedRestaurant Delivery60min","https://www.foodpanda.sg/restaurant/y6eu/awadh-royal-indian-lucknawi-cusine-restaurant-delivery","AWADH Royal Indian Lucknawi Cusine - Restaurant Delivery","","","","","S$ 12.90","3.9/5","null","null"
"1622642146-4317","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Sichuan Tianfu Restaurant 天府川菜4.6/5 (2k+)$$$ChineseSeafood pandapro perksFree deliveryPRO - Free Delivery30min","https://www.foodpanda.sg/restaurant/s2mr/sichuan-tianfu-restaurant-","Sichuan Tianfu Restaurant 天府川菜","","","","","from  S$ 14.50","4.6/5","null","null"
"1622642195-8255","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Takagi Ramen (Clementi)4.5/5 (1k+)$$$JapaneseAsianNoodles pandapro perksBubble TeaFree deliveryFree Delivery!Featured30min","https://www.foodpanda.sg/restaurant/c2sn/takagi-ramen-clementi","Takagi Ramen (Clementi)","","","","","from  S$ 13","4.5/5","null","null"
"1622642125-2497","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Xin Wang Hong Kong Cafe (West Coast Plaza)4.5/5 (2k+)$$$ChineseLunchDinnerDim SumS$ 3.49 Delivery fee35min","https://www.foodpanda.sg/restaurant/v7ev/xin-wang-hong-kong-cafe-west-coast-plaza","Xin Wang Hong Kong Cafe (West Coast Plaza)","","8060D Tiger Prawn Roll (3pcs)","","","","4.5/5","null","null"
"1622642164-5446","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Rangooli4.5/5 (2k+)$$$IndianSingaporeanWestern pandapro perksCurryFree deliveryPRO - Free Delivery30min","https://www.foodpanda.sg/restaurant/v1bv/rangooli","Rangooli","","","Basmati rice cooked with prawns with exotic spices","","","4.5/5","null","null"
"1622642182-6930","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery1.6/5 (3)$$$IndianWrapsBeveragesRice DishesMonthly DealsS$ 6 Delivery feeDiscount 15%Featured60min","https://www.foodpanda.sg/restaurant/eq68/brits-indian-kebab-and-grill-corner-restaurant-delivery","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery","","","","","S$ 11.82S$ 13.90","1.6/5","null","null"
